timestamp,bot,minor,user,domain,old_length,new_length,length_diff,length_diff_percent
1726188948.0,False,False,DrThneed,www.wikidata.org,10091.0,10894.0,803.0,7.957585967693985
1726188949.0,False,False,Quesotiotyo,www.wikidata.org,6466.0,6818.0,352.0,5.443860191772347
1726188937.0,False,False,Milkk7,en.wikipedia.org,77106.0,77233.0,127.0,0.1647083236064638
1726188948.0,True,False,WP 1.0 bot,en.wikipedia.org,12231.0,12128.0,-103.0,-0.8421224756765596
1726188947.0,True,False,Twofivesixbot,www.wikidata.org,25079.0,23318.0,-1761.0,-7.021811076996691
1726188949.0,True,False,Cewbot,www.wikidata.org,75080.0,75499.0,419.0,0.5580713905167821
1726188947.0,False,,HwætGrimmalkin,commons.wikimedia.org,,,,
1726188945.0,False,,Hilohello,commons.wikimedia.org,,,,
1726188948.0,False,False,R0paire-wiki,en.wikipedia.org,,1112.0,,
1726188946.0,False,,Scann,commons.wikimedia.org,,,,
1726188945.0,False,,Hilohello,commons.wikimedia.org,,,,
1726188946.0,False,,Scann,commons.wikimedia.org,,,,
1726188946.0,False,,Scann,commons.wikimedia.org,,,,
1726188946.0,False,,Scann,commons.wikimedia.org,,,,
1726188949.0,False,False,DrThneed,www.wikidata.org,8505.0,9309.0,804.0,9.45326278659612
1726188949.0,False,False,Hinnk,en.wikipedia.org,277.0,322.0,45.0,16.24548736462094
1726188949.0,False,False,Miraschulman,en.wikipedia.org,579.0,741.0,162.0,27.979274611398964
1726188949.0,False,False,Lvoloshyn,www.wikidata.org,12129.0,12489.0,360.0,2.9680930002473414
1726188948.0,True,,BadzilBot,commons.wikimedia.org,,,,
1726188949.0,True,False,Emijrpbot,commons.wikimedia.org,6642.0,8257.0,1615.0,24.314965371875942
1726188949.0,False,False,Oronsay,www.wikidata.org,2130.0,2491.0,361.0,16.948356807511736
1726188949.0,True,False,Emijrpbot,commons.wikimedia.org,4644.0,6259.0,1615.0,34.77605512489234
1726188950.0,True,False,Cewbot,www.wikidata.org,75499.0,75777.0,278.0,0.3682167975734778
1726188948.0,True,False,Twofivesixbot,www.wikidata.org,27165.0,25404.0,-1761.0,-6.482606294864715
1726188949.0,True,True,BadzilBot,commons.wikimedia.org,8513.0,8555.0,42.0,0.4933630917420416
1726188949.0,True,False,BotMultichillT,commons.wikimedia.org,702.0,4358.0,3656.0,520.7977207977208
1726188948.0,False,,Aiaiaiaiaia,commons.wikimedia.org,,,,
1726188942.0,True,True,JJMC89 bot III,en.wikipedia.org,46695.0,46695.0,0.0,0.0
1726188950.0,False,False,Quesotiotyo,www.wikidata.org,4768.0,5121.0,353.0,7.403523489932885
1726188948.0,False,,Aiaiaiaiaia,commons.wikimedia.org,,,,
1726188950.0,False,False,DrThneed,www.wikidata.org,7750.0,8553.0,803.0,10.361290322580643
1726188948.0,True,False,Emijrpbot,commons.wikimedia.org,35309.0,36928.0,1619.0,4.585233226656094
1726188949.0,False,,Hinnk,en.wikipedia.org,,,,
1726188950.0,True,False,Cewbot,www.wikidata.org,75777.0,77161.0,1384.0,1.826411708038059
1726188949.0,False,,Hinnk,en.wikipedia.org,,,,
1726188948.0,False,False,Bruxton,en.wikipedia.org,,1775.0,,
1726188950.0,True,False,Emijrpbot,commons.wikimedia.org,6238.0,7854.0,1616.0,25.90573901891632
1726188949.0,False,True,Dvaderv2,commons.wikimedia.org,4956.0,5010.0,54.0,1.0895883777239708
1726188950.0,False,False,Quesotiotyo,www.wikidata.org,6767.0,7119.0,352.0,5.201714201270873
1726188950.0,True,True,BadzilBot,commons.wikimedia.org,7307.0,7349.0,42.0,0.5747912960175174
1726188949.0,True,,BadzilBot,commons.wikimedia.org,,,,
1726188948.0,False,True,RialtoGirl,en.wikipedia.org,7097.0,7585.0,488.0,6.876144849936592
